AIDS診斷年份,AIDS診斷月份,性別,診斷年齡分組,個案數,縣市
1986,2,男,25-34,1,台北市
1987,9,男,35-49,1,台中市
1988,5,男,25-34,1,台南市
1988,10,男,35-49,1,新北市
1989,3,男,25-34,2,新北市
1989,4,男,50-64,1,新北市
1989,8,男,25-34,1,桃園市
1989,8,男,35-49,1,桃園市
1989,10,男,25-34,1,新北市
1989,10,男,65以上,1,新北市
1989,11,男,35-49,1,新北市
1990,5,男,15-24,1,台北市
1990,6,男,25-34,1,台北市
1990,7,男,35-49,1,台北市
1990,8,男,35-49,1,新北市
1990,9,男,25-34,1,台北市
1991,1,男,25-34,2,高雄市
1991,2,男,25-34,1,新竹縣
1991,5,男,25-34,1,台北市
1991,7,男,25-34,1,屏東縣
1991,7,男,35-49,1,高雄市
1991,9,男,25-34,1,新北市
1991,10,男,25-34,1,台中市
1991,10,男,25-34,1,台北市
1991,11,男,25-34,1,台北市
1991,11,男,35-49,1,台北市
1991,12,男,50-64,1,台北市
1991,12,男,50-64,1,彰化縣
1992,1,女,25-34,1,台北市
1992,2,男,50-64,1,新北市
1992,3,男,25-34,1,新北市
1992,3,男,35-49,1,新竹市
1992,4,女,65以上,1,台北市
1992,5,男,25-34,1,新北市
1992,5,男,50-64,1,新北市
1992,6,男,35-49,1,高雄市
1992,6,男,25-34,1,新北市
1992,8,女,25-34,1,台北市
1992,8,男,25-34,1,新北市
1992,8,男,25-34,1,彰化縣
1992,9,男,25-34,1,南投縣
1992,9,男,25-34,1,屏東縣
1992,9,男,35-49,1,新北市
1992,9,男,50-64,2,新北市
1992,9,男,15-24,1,彰化縣
1992,10,男,25-34,1,桃園市
1992,10,男,50-64,1,彰化縣
1992,11,男,65以上,1,台北市
1992,11,男,35-49,1,雲林縣
1992,11,男,35-49,1,新北市
1993,1,男,35-49,2,新北市
1993,1,男,50-64,1,新北市
1993,2,男,35-49,1,台中市
1993,2,女,15-24,1,新北市
1993,2,男,25-34,1,新北市
1993,2,男,65以上,1,新北市
1993,4,男,50-64,1,新北市
1993,5,女,25-34,1,台北市
1993,5,男,35-49,1,台北市
1993,5,男,35-49,1,澎湖縣
1993,6,男,35-49,1,台北市
1993,6,男,25-34,1,新北市
1993,7,男,25-34,1,台中市
1993,7,男,35-49,2,台北市
1993,7,女,50-64,1,新北市
1993,7,男,35-49,1,新北市
1993,8,男,25-34,1,台北市
1993,8,男,50-64,1,屏東縣
1993,9,男,50-64,1,台北市
1993,9,男,25-34,1,基隆市
1993,10,男,25-34,1,桃園市
1993,10,男,25-34,1,高雄市
1993,10,男,65以上,1,新北市
1993,11,男,50-64,1,台北市
1993,11,男,50-64,1,台南市
1993,11,男,25-34,1,高雄市
1993,11,男,25-34,1,新北市
1993,11,男,65以上,1,新北市
1993,12,男,15-24,1,台北市
1993,12,男,25-34,1,台北市
1993,12,男,35-49,1,桃園市
1993,12,男,25-34,1,高雄市
1993,12,男,35-49,1,嘉義縣
1994,1,男,25-34,1,台北市
1994,1,男,35-49,1,台北市
1994,1,男,35-49,1,台南市
1994,1,男,15-24,1,高雄市
1994,1,男,25-34,1,新北市
1994,2,男,35-49,1,台南市
1994,2,男,25-34,1,南投縣
1994,2,男,35-49,1,雲林縣
1994,2,男,50-64,1,新北市
1994,3,男,25-34,1,台南市
1994,3,男,35-49,1,台南市
1994,3,男,25-34,1,苗栗縣
1994,3,男,35-49,1,桃園市
1994,3,男,25-34,1,新北市
1994,4,男,35-49,1,台北市
1994,4,男,15-24,1,桃園市
1994,4,男,35-49,1,高雄市
1994,4,男,50-64,1,高雄市
1994,4,男,25-34,1,新北市
1994,5,男,35-49,1,台北市
1994,5,男,50-64,1,台北市
1994,5,男,15-24,1,台南市
1994,5,男,35-49,1,台南市
1994,5,男,35-49,3,新北市
1994,6,男,25-34,3,台北市
1994,6,男,35-49,1,台北市
1994,6,男,50-64,1,台北市
1994,6,男,25-34,2,花蓮縣
1994,6,男,35-49,2,新北市
1994,7,男,50-64,1,高雄市
1994,7,男,25-34,2,新北市
1994,7,男,35-49,1,新北市
1994,8,男,65以上,1,台南市
1994,8,男,25-34,1,南投縣
1994,8,男,25-34,1,屏東縣
1994,8,男,25-34,1,高雄市
1994,9,男,25-34,1,台北市
1994,9,男,50-64,1,台北市
1994,9,男,25-34,1,台南市
1994,9,男,25-34,2,宜蘭縣
1994,9,男,25-34,1,桃園市
1994,9,男,25-34,1,新北市
1994,10,女,25-34,1,台北市
1994,10,男,35-49,2,台北市
1994,10,男,50-64,1,台北市
1994,10,男,25-34,1,屏東縣
1994,10,男,25-34,1,嘉義縣
1994,11,男,50-64,1,台中市
1994,11,男,35-49,1,台北市
1994,11,男,25-34,1,花蓮縣
1994,11,男,15-24,1,苗栗縣
1994,11,男,35-49,1,桃園市
1994,11,女,35-49,1,新北市
1994,12,男,35-49,1,苗栗縣
1994,12,男,35-49,1,新北市
1995,1,男,25-34,1,台南市
1995,1,男,35-49,1,台南市
1995,1,男,25-34,1,苗栗縣
1995,1,男,25-34,1,彰化縣
1995,2,男,35-49,1,台中市
1995,2,男,25-34,1,台北市
1995,2,男,35-49,1,台北市
1995,2,男,35-49,1,桃園市
1995,2,男,25-34,3,新北市
1995,3,男,25-34,1,台中市
1995,3,男,35-49,1,台北市
1995,3,男,25-34,1,台南市
1995,3,男,65以上,1,宜蘭縣
1995,3,男,25-34,1,花蓮縣
1995,3,男,25-34,1,新北市
1995,3,男,35-49,1,新北市
1995,3,男,35-49,1,新竹縣
1995,4,男,35-49,1,台北市
1995,4,男,65以上,1,台北市
1995,4,男,35-49,1,台南市
1995,4,男,35-49,1,高雄市
1995,4,男,35-49,1,新北市
1995,4,男,50-64,1,新北市
1995,4,男,25-34,1,新竹縣
1995,5,男,15-24,1,台中市
1995,5,男,35-49,1,台北市
1995,5,男,35-49,1,基隆市
1995,5,男,25-34,1,新北市
1995,6,男,35-49,1,台北市
1995,6,男,50-64,1,台北市
1995,6,男,35-49,1,台南市
1995,6,男,25-34,1,花蓮縣
1995,6,男,25-34,2,新北市
1995,7,男,25-34,1,台北市
1995,7,男,35-49,3,台北市
1995,7,男,25-34,1,台南市
1995,7,男,35-49,1,台南市
1995,7,男,25-34,2,苗栗縣
1995,7,男,25-34,1,桃園市
1995,7,男,25-34,2,新北市
1995,7,男,35-49,1,新北市
1995,7,男,50-64,1,新北市
1995,8,男,35-49,1,台中市
1995,8,男,50-64,1,台中市
1995,8,男,50-64,2,台北市
1995,8,男,25-34,1,台東縣
1995,8,女,35-49,1,新北市
1995,8,男,25-34,1,新北市
1995,8,男,65以上,1,新北市
1995,9,女,25-34,1,台中市
1995,9,男,35-49,1,台北市
1995,9,男,50-64,2,台北市
1995,9,男,35-49,1,台南市
1995,9,男,65以上,1,台南市
1995,9,男,25-34,1,屏東縣
1995,9,男,15-24,1,新北市
1995,9,男,25-34,1,新北市
1995,9,男,25-34,1,新竹縣
1995,9,男,35-49,1,嘉義縣
1995,10,男,25-34,1,台北市
1995,10,男,35-49,3,台北市
1995,10,男,25-34,2,台南市
1995,10,男,35-49,1,高雄市
1995,10,男,25-34,1,新北市
1995,10,男,35-49,1,新北市
1995,10,男,50-64,1,新北市
1995,10,男,65以上,1,新北市
1995,11,男,25-34,1,台中市
1995,11,男,25-34,2,台北市
1995,11,男,35-49,1,台北市
1995,11,男,25-34,1,桃園市
1995,11,男,25-34,1,新北市
1995,11,男,35-49,1,新北市
1995,11,男,35-49,1,新竹市
1995,11,男,50-64,1,新竹市
1995,11,男,25-34,1,新竹縣
1995,12,女,25-34,1,台中市
1995,12,男,35-49,2,台中市
1995,12,男,35-49,1,台北市
1995,12,男,25-34,2,桃園市
1995,12,男,25-34,1,新北市
1995,12,男,35-49,1,新北市
1996,1,男,15-24,1,台中市
1996,1,男,25-34,1,台中市
1996,1,女,15-24,1,台南市
1996,1,男,35-49,1,台南市
1996,1,男,35-49,1,苗栗縣
1996,1,男,25-34,1,高雄市
1996,1,男,65以上,1,高雄市
1996,1,男,35-49,1,新北市
1996,1,男,25-34,1,彰化縣
1996,2,男,15-24,1,台中市
1996,2,男,50-64,1,台中市
1996,2,男,65以上,1,台中市
1996,2,男,25-34,2,台北市
1996,2,男,50-64,2,台北市
1996,2,男,50-64,1,台南市
1996,2,男,35-49,1,高雄市
1996,2,男,35-49,2,新北市
1996,3,女,25-34,1,台中市
1996,3,男,35-49,2,台中市
1996,3,男,25-34,3,台北市
1996,3,男,35-49,1,台北市
1996,3,男,50-64,1,台北市
1996,3,男,25-34,1,花蓮縣
1996,3,男,35-49,1,南投縣
1996,3,男,25-34,1,苗栗縣
1996,3,女,50-64,1,高雄市
1996,3,男,25-34,1,高雄市
1996,3,男,35-49,1,基隆市
1996,3,男,15-24,1,新北市
1996,3,男,35-49,3,新北市
1996,4,男,25-34,4,台北市
1996,4,男,50-64,1,台北市
1996,4,男,25-34,1,台南市
1996,4,男,25-34,2,桃園市
1996,4,男,35-49,1,桃園市
1996,4,男,50-64,1,桃園市
1996,4,男,35-49,1,高雄市
1996,4,男,35-49,2,新北市
1996,4,男,50-64,1,新北市
1996,4,男,65以上,1,新北市
1996,4,男,25-34,1,彰化縣
1996,5,男,25-34,1,台中市
1996,5,男,35-49,1,台中市
1996,5,男,25-34,2,台北市
1996,5,男,50-64,1,台南市
1996,5,男,15-24,1,宜蘭縣
1996,5,男,25-34,1,屏東縣
1996,5,男,35-49,2,屏東縣
1996,5,男,25-34,1,雲林縣
1996,5,男,25-34,3,新北市
1996,5,男,35-49,1,新北市
1996,5,男,25-34,1,新竹市
1996,5,男,25-34,1,嘉義市
1996,6,男,25-34,2,台中市
1996,6,男,35-49,1,台中市
1996,6,男,65以上,1,台中市
1996,6,男,35-49,1,台北市
1996,6,男,25-34,1,台南市
1996,6,男,35-49,1,台南市
1996,6,男,25-34,4,新北市
1996,6,男,35-49,2,新北市
1996,7,男,25-34,1,台北市
1996,7,男,35-49,1,台北市
1996,7,男,35-49,1,台南市
1996,7,男,35-49,1,苗栗縣
1996,7,男,25-34,2,高雄市
1996,7,男,50-64,1,雲林縣
1996,7,男,25-34,1,新北市
1996,7,男,35-49,1,新北市
1996,7,男,50-64,1,新北市
1996,7,男,35-49,1,彰化縣
1996,8,男,25-34,1,台中市
1996,8,男,25-34,1,台北市
1996,8,男,35-49,1,台北市
1996,8,男,50-64,1,台北市
1996,8,男,65以上,1,台北市
1996,8,男,25-34,1,台南市
1996,8,男,25-34,1,屏東縣
1996,8,男,35-49,1,高雄市
1996,8,男,25-34,1,新竹縣
1996,9,女,25-34,1,台中市
1996,9,女,50-64,1,台中市
1996,9,男,35-49,1,台北市
1996,9,男,65以上,1,台南市
1996,9,女,35-49,1,苗栗縣
1996,9,男,35-49,1,桃園市
1996,9,男,25-34,1,高雄市
1996,9,男,35-49,2,高雄市
1996,9,男,25-34,1,新北市
1996,9,男,35-49,2,新北市
1996,9,男,50-64,1,嘉義縣
1996,10,男,25-34,2,台中市
1996,10,女,25-34,1,台北市
1996,10,男,15-24,1,台北市
1996,10,男,25-34,1,台北市
1996,10,男,35-49,1,台南市
1996,10,男,35-49,1,屏東縣
1996,10,男,35-49,2,高雄市
1996,10,女,35-49,1,新北市
1996,10,男,25-34,5,新北市
1996,10,男,35-49,2,新北市
1996,10,男,65以上,1,新北市
1996,11,男,15-24,1,台中市
1996,11,男,25-34,1,台中市
1996,11,男,25-34,1,台北市
1996,11,男,25-34,1,台南市
1996,11,男,50-64,1,桃園市
1996,11,男,50-64,1,高雄市
1996,11,男,35-49,1,基隆市
1996,11,男,25-34,3,新北市
1996,11,男,35-49,3,新北市
1996,12,男,35-49,1,台北市
1996,12,男,25-34,1,台南市
1996,12,男,25-34,1,屏東縣
1996,12,男,50-64,1,屏東縣
1996,12,男,25-34,2,新北市
1996,12,男,35-49,2,新北市
1996,12,男,65以上,1,新北市
1997,1,男,15-24,1,台中市
1997,1,男,25-34,1,台北市
1997,1,男,15-24,1,台南市
1997,1,男,25-34,1,台南市
1997,1,男,35-49,1,台南市
1997,1,男,50-64,1,台南市
1997,1,男,50-64,1,屏東縣
1997,1,男,35-49,1,桃園市
1997,1,男,25-34,1,高雄市
1997,1,男,35-49,2,高雄市
1997,1,男,25-34,1,基隆市
1997,1,女,50-64,1,新北市
1997,1,男,25-34,1,新北市
1997,1,男,50-64,1,新北市
1997,1,女,25-34,1,新竹縣
1997,2,男,25-34,1,台北市
1997,2,男,35-49,1,南投縣
1997,2,男,25-34,1,桃園市
1997,2,男,35-49,1,桃園市
1997,2,男,25-34,1,高雄市
1997,2,男,25-34,1,新北市
1997,2,男,35-49,2,新北市
1997,3,男,65以上,1,台中市
1997,3,男,15-24,1,台北市
1997,3,男,35-49,1,台北市
1997,3,女,15-24,1,宜蘭縣
1997,3,男,35-49,1,花蓮縣
1997,3,男,35-49,1,屏東縣
1997,3,男,35-49,1,桃園市
1997,3,男,50-64,2,高雄市
1997,3,男,25-34,1,新北市
1997,4,男,35-49,1,台中市
1997,4,男,50-64,1,台中市
1997,4,男,25-34,2,台北市
1997,4,男,50-64,1,台北市
1997,4,男,25-34,1,花蓮縣
1997,4,男,25-34,1,桃園市
1997,4,男,35-49,1,新北市
1997,4,男,50-64,1,新北市
1997,4,男,25-34,1,新竹市
1997,5,男,25-34,3,台中市
1997,5,男,50-64,1,台中市
1997,5,男,35-49,1,台北市
1997,5,男,50-64,1,台北市
1997,5,男,25-34,1,台東縣
1997,5,男,25-34,2,南投縣
1997,5,男,25-34,2,屏東縣
1997,5,男,35-49,1,屏東縣
1997,5,男,25-34,1,桃園市
1997,5,男,25-34,1,新北市
1997,5,男,35-49,3,新北市
1997,5,男,50-64,1,新北市
1997,5,男,35-49,1,新竹縣
1997,5,男,50-64,1,嘉義市
1997,6,男,25-34,2,台中市
1997,6,男,25-34,1,台北市
1997,6,男,35-49,1,台北市
1997,6,男,50-64,1,台南市
1997,6,男,25-34,1,桃園市
1997,6,男,35-49,1,桃園市
1997,6,男,25-34,1,高雄市
1997,6,女,35-49,1,新北市
1997,6,男,25-34,1,新北市
1997,6,男,35-49,2,新北市
1997,7,男,25-34,1,台中市
1997,7,男,25-34,1,台北市
1997,7,男,35-49,1,台北市
1997,7,男,25-34,1,桃園市
1997,7,男,35-49,1,高雄市
1997,7,男,35-49,1,新北市
1997,7,女,65以上,1,彰化縣
1997,8,男,35-49,1,台中市
1997,8,男,25-34,2,台北市
1997,8,男,35-49,1,台北市
1997,8,男,25-34,1,台南市
1997,8,男,35-49,1,屏東縣
1997,8,男,25-34,1,桃園市
1997,9,男,25-34,1,台中市
1997,9,男,25-34,1,台南市
1997,9,男,35-49,1,屏東縣
1997,9,男,35-49,1,桃園市
1997,9,男,35-49,1,新北市
1997,9,男,50-64,1,嘉義縣
1997,10,男,35-49,1,台北市
1997,10,男,25-34,1,花蓮縣
1997,10,男,50-64,1,南投縣
1997,10,女,25-34,1,桃園市
1997,10,男,15-24,1,高雄市
1997,10,男,35-49,3,高雄市
1997,10,男,25-34,1,基隆市
1997,10,男,25-34,1,新北市
1997,10,男,50-64,1,新北市
1997,10,男,65以上,1,嘉義縣
1997,11,男,25-34,1,台北市
1997,11,男,35-49,1,台北市
1997,11,男,50-64,1,台北市
1997,11,男,50-64,1,台南市
1997,11,男,25-34,1,宜蘭縣
1997,11,女,25-34,1,桃園市
1997,11,男,25-34,1,桃園市
1997,11,男,35-49,1,桃園市
1997,11,男,35-49,1,高雄市
1997,11,男,25-34,1,基隆市
1997,11,男,35-49,1,新竹市
1997,12,男,35-49,1,台中市
1997,12,男,25-34,1,台北市
1997,12,男,35-49,1,台北市
1997,12,男,65以上,1,台北市
1997,12,男,25-34,1,屏東縣
1997,12,男,50-64,1,屏東縣
1997,12,男,25-34,2,桃園市
1997,12,男,35-49,5,高雄市
1997,12,男,25-34,1,雲林縣
1997,12,男,35-49,2,新北市
1997,12,男,50-64,1,彰化縣
1998,1,男,25-34,3,台中市
1998,1,男,35-49,1,台北市
1998,1,男,25-34,1,屏東縣
1998,1,男,35-49,1,基隆市
1998,1,男,25-34,1,新北市
1998,2,男,25-34,1,台中市
1998,2,男,35-49,1,台中市
1998,2,男,25-34,1,台北市
1998,2,男,15-24,1,台南市
1998,2,男,25-34,1,台南市
1998,2,男,35-49,1,南投縣
1998,2,男,35-49,1,桃園市
1998,2,男,50-64,1,桃園市
1998,2,男,25-34,1,基隆市
1998,2,男,25-34,2,新北市
1998,2,男,25-34,2,彰化縣
1998,3,男,35-49,1,台中市
1998,3,男,15-24,1,台北市
1998,3,男,35-49,1,台北市
1998,3,男,35-49,2,台南市
1998,3,男,25-34,1,花蓮縣
1998,3,男,35-49,2,屏東縣
1998,3,男,25-34,3,高雄市
1998,3,男,35-49,3,高雄市
1998,3,男,25-34,1,基隆市
1998,3,男,25-34,3,新北市
1998,3,女,50-64,1,新竹市
1998,3,男,35-49,2,新竹市
1998,3,女,50-64,1,彰化縣
1998,4,男,35-49,1,台中市
1998,4,男,25-34,1,台北市
1998,4,男,35-49,1,台北市
1998,4,男,15-24,1,台南市
1998,4,男,35-49,1,台南市
1998,4,女,35-49,1,花蓮縣
1998,4,男,35-49,1,屏東縣
1998,4,男,35-49,2,新北市
1998,5,男,35-49,2,台中市
1998,5,女,25-34,1,台北市
1998,5,男,25-34,3,台北市
1998,5,男,50-64,1,南投縣
1998,5,男,25-34,1,屏東縣
1998,5,男,50-64,1,苗栗縣
1998,5,男,25-34,1,高雄市
1998,5,男,50-64,1,高雄市
1998,5,女,35-49,1,基隆市
1998,5,男,25-34,1,新北市
1998,5,男,25-34,1,嘉義市
1998,5,男,35-49,1,嘉義縣
1998,5,男,50-64,1,嘉義縣
1998,6,男,35-49,1,台中市
1998,6,男,50-64,1,台中市
1998,6,男,35-49,1,台南市
1998,6,男,25-34,1,宜蘭縣
1998,6,女,35-49,1,屏東縣
1998,6,女,25-34,1,桃園市
1998,6,男,15-24,1,桃園市
1998,6,女,25-34,1,新北市
1998,6,男,25-34,1,新北市
1998,6,男,35-49,1,新北市
1998,6,男,50-64,1,新北市
1998,6,男,35-49,1,彰化縣
1998,7,男,25-34,2,台中市
1998,7,男,35-49,1,台中市
1998,7,男,35-49,1,台北市
1998,7,男,35-49,2,台南市
1998,7,男,35-49,1,高雄市
1998,7,男,25-34,1,新北市
1998,7,男,35-49,4,新北市
1998,7,男,35-49,1,新竹市
1998,7,男,35-49,1,嘉義縣
1998,7,男,25-34,1,彰化縣
1998,8,女,50-64,1,台中市
1998,8,男,35-49,1,台中市
1998,8,男,25-34,1,台北市
1998,8,男,25-34,1,台南市
1998,8,男,35-49,1,桃園市
1998,8,男,25-34,3,高雄市
1998,8,男,25-34,1,新北市
1998,8,男,35-49,3,新北市
1998,8,男,65以上,1,新北市
1998,9,男,25-34,2,台中市
1998,9,男,65以上,2,台北市
1998,9,男,50-64,1,花蓮縣
1998,9,男,35-49,1,南投縣
1998,9,男,25-34,1,屏東縣
1998,9,男,35-49,1,苗栗縣
1998,9,男,35-49,1,高雄市
1998,9,男,35-49,1,基隆市
1998,9,男,50-64,1,基隆市
1998,9,男,35-49,1,新竹市
1998,10,男,15-24,1,台中市
1998,10,男,25-34,2,台中市
1998,10,男,35-49,1,台中市
1998,10,男,25-34,1,台南市
1998,10,男,65以上,1,台南市
1998,10,女,35-49,1,南投縣
1998,10,男,35-49,1,苗栗縣
1998,10,男,25-34,1,基隆市
1998,10,男,35-49,1,新北市
1998,10,男,50-64,2,新北市
1998,10,男,65以上,1,新北市
1998,11,男,25-34,3,台北市
1998,11,男,35-49,1,台南市
1998,11,男,50-64,2,台南市
1998,11,男,25-34,1,花蓮縣
1998,11,男,35-49,1,屏東縣
1998,11,男,35-49,1,高雄市
1998,11,女,35-49,1,新北市
1998,11,男,25-34,2,新北市
1998,11,男,35-49,1,新竹縣
1998,12,男,25-34,2,台中市
1998,12,男,35-49,1,台中市
1998,12,男,25-34,1,高雄市
1998,12,男,35-49,1,高雄市
1998,12,男,35-49,1,基隆市
1998,12,男,25-34,2,新北市
1999,1,男,25-34,1,台中市
1999,1,男,35-49,2,台中市
1999,1,男,50-64,1,台中市
1999,1,男,35-49,2,台北市
1999,1,男,50-64,1,南投縣
1999,1,男,35-49,1,屏東縣
1999,1,男,25-34,2,桃園市
1999,1,男,50-64,1,桃園市
1999,1,男,25-34,2,高雄市
1999,1,男,35-49,1,高雄市
1999,1,男,35-49,4,新北市
1999,2,男,35-49,1,台中市
1999,2,男,35-49,3,台北市
1999,2,女,15-24,1,台東縣
1999,2,女,25-34,1,台南市
1999,2,男,15-24,1,台南市
1999,2,男,50-64,1,苗栗縣
1999,2,男,35-49,1,桃園市
1999,2,女,35-49,1,新北市
1999,2,男,25-34,1,新北市
1999,2,男,35-49,2,新北市
1999,2,男,65以上,1,新北市
1999,2,男,25-34,1,嘉義市
1999,3,女,35-49,1,台中市
1999,3,男,25-34,1,台中市
1999,3,男,25-34,1,台北市
1999,3,男,35-49,1,台北市
1999,3,女,35-49,1,台南市
1999,3,男,25-34,1,台南市
1999,3,男,35-49,1,台南市
1999,3,男,35-49,1,雲林縣
1999,3,女,15-24,1,新北市
1999,3,男,65以上,1,新北市
1999,3,男,35-49,1,嘉義縣
1999,3,男,25-34,1,彰化縣
1999,4,男,25-34,1,台中市
1999,4,男,35-49,2,台中市
1999,4,男,50-64,1,台中市
1999,4,男,25-34,1,台南市
1999,4,男,35-49,1,台南市
1999,4,男,25-34,1,屏東縣
1999,4,男,15-24,1,桃園市
1999,4,男,35-49,3,桃園市
1999,4,女,35-49,1,高雄市
1999,4,男,50-64,1,高雄市
1999,4,男,25-34,1,雲林縣
1999,4,女,35-49,1,新北市
1999,4,男,25-34,2,新北市
1999,4,男,25-34,1,嘉義縣
1999,5,男,15-24,1,台北市
1999,5,男,25-34,2,台北市
1999,5,男,25-34,1,桃園市
1999,5,男,35-49,1,桃園市
1999,5,男,50-64,1,桃園市
1999,5,男,35-49,1,雲林縣
1999,5,男,25-34,1,新北市
1999,5,男,35-49,2,新北市
1999,5,男,50-64,1,新北市
1999,5,男,65以上,1,新北市
1999,5,男,25-34,1,新竹市
1999,5,男,25-34,1,新竹縣
1999,6,男,25-34,1,台中市
1999,6,男,35-49,1,台中市
1999,6,男,35-49,1,台北市
1999,6,男,35-49,1,台南市
1999,6,男,35-49,1,花蓮縣
1999,6,女,25-34,1,桃園市
1999,6,男,35-49,1,桃園市
1999,6,男,25-34,1,高雄市
1999,6,男,25-34,1,新北市
1999,6,男,35-49,1,新北市
1999,6,男,50-64,2,新北市
1999,6,男,35-49,1,彰化縣
1999,7,男,35-49,2,台中市
1999,7,女,25-34,1,台北市
1999,7,男,65以上,1,台南市
1999,7,女,50-64,1,花蓮縣
1999,7,男,35-49,1,花蓮縣
1999,7,男,35-49,1,桃園市
1999,7,女,25-34,1,高雄市
1999,7,女,35-49,1,高雄市
1999,7,男,15-24,1,高雄市
1999,7,男,25-34,2,新北市
1999,7,男,35-49,1,新北市
1999,7,女,35-49,1,新竹縣
1999,8,男,35-49,3,台中市
1999,8,男,35-49,1,台北市
1999,8,女,35-49,1,台南市
1999,8,女,50-64,1,宜蘭縣
1999,8,女,65以上,1,花蓮縣
1999,8,男,35-49,1,南投縣
1999,8,男,25-34,1,桃園市
1999,8,男,25-34,1,高雄市
1999,8,男,35-49,1,高雄市
1999,8,男,25-34,1,基隆市
1999,8,男,25-34,1,新北市
1999,8,男,35-49,1,新北市
1999,9,男,35-49,1,台中市
1999,9,男,15-24,1,台北市
1999,9,男,35-49,1,台北市
1999,9,男,50-64,2,台北市
1999,9,男,50-64,1,台南市
1999,9,男,65以上,1,宜蘭縣
1999,9,男,50-64,1,屏東縣
1999,9,女,25-34,1,桃園市
1999,9,男,15-24,1,桃園市
1999,9,男,35-49,1,桃園市
1999,9,男,25-34,1,高雄市
1999,9,男,35-49,1,新北市
1999,9,男,50-64,1,新北市
1999,9,男,50-64,1,嘉義市
1999,10,男,25-34,2,台中市
1999,10,男,35-49,1,台中市
1999,10,女,25-34,1,台南市
1999,10,男,25-34,1,台南市
1999,10,男,15-24,2,桃園市
1999,10,男,25-34,1,桃園市
1999,10,男,35-49,1,桃園市
1999,10,男,25-34,1,高雄市
1999,10,男,35-49,1,新北市
1999,11,男,35-49,1,台中市
1999,11,男,25-34,2,台北市
1999,11,男,35-49,1,台北市
1999,11,男,50-64,1,台北市
1999,11,男,25-34,1,台南市
1999,11,女,50-64,1,屏東縣
1999,11,男,35-49,1,苗栗縣
1999,11,男,25-34,1,桃園市
1999,11,男,35-49,2,桃園市
1999,11,男,35-49,1,基隆市
1999,11,女,35-49,1,新北市
1999,11,男,25-34,1,新北市
1999,11,男,35-49,2,新北市
1999,11,男,65以上,1,新北市
1999,12,男,25-34,2,台中市
1999,12,男,25-34,1,台北市
1999,12,男,35-49,2,台北市
1999,12,男,25-34,1,台南市
1999,12,男,25-34,1,花蓮縣
1999,12,男,35-49,2,花蓮縣
1999,12,男,25-34,1,屏東縣
1999,12,男,35-49,1,屏東縣
1999,12,男,35-49,1,桃園市
1999,12,女,25-34,1,高雄市
1999,12,男,25-34,1,高雄市
1999,12,男,35-49,1,高雄市
1999,12,男,35-49,1,基隆市
1999,12,男,25-34,1,新北市
1999,12,男,50-64,2,新北市
1999,12,男,25-34,1,嘉義縣
2000,1,男,35-49,1,台中市
2000,1,男,50-64,1,台北市
2000,1,男,65以上,1,台北市
2000,1,男,25-34,1,台南市
2000,1,女,35-49,1,花蓮縣
2000,1,男,35-49,1,花蓮縣
2000,1,男,50-64,1,屏東縣
2000,1,男,35-49,2,桃園市
2000,1,男,15-24,1,高雄市
2000,1,男,25-34,2,高雄市
2000,1,男,50-64,1,高雄市
2000,1,男,25-34,1,新北市
2000,2,男,15-24,2,台中市
2000,2,男,25-34,1,台中市
2000,2,女,35-49,1,台北市
2000,2,男,35-49,1,台北市
2000,2,男,35-49,1,台南市
2000,2,男,50-64,2,台南市
2000,2,男,15-24,1,桃園市
2000,2,男,25-34,1,桃園市
2000,2,男,50-64,2,高雄市
2000,3,男,15-24,1,台中市
2000,3,男,25-34,2,台中市
2000,3,男,25-34,1,台北市
2000,3,男,35-49,1,台北市
2000,3,男,15-24,2,桃園市
2000,3,男,25-34,1,高雄市
2000,3,女,35-49,1,基隆市
2000,3,女,50-64,1,新北市
2000,3,男,50-64,1,新竹縣
2000,4,女,50-64,1,台中市
2000,4,男,25-34,1,台中市
2000,4,男,35-49,2,台中市
2000,4,男,25-34,1,台南市
2000,4,男,15-24,1,桃園市
2000,4,男,35-49,1,高雄市
2000,4,男,25-34,1,新北市
2000,4,男,50-64,1,新北市
2000,5,男,35-49,1,台中市
2000,5,男,50-64,1,台中市
2000,5,男,25-34,1,台北市
2000,5,男,35-49,2,台北市
2000,5,男,35-49,1,南投縣
2000,5,男,25-34,1,屏東縣
2000,5,男,35-49,1,屏東縣
2000,5,女,35-49,1,高雄市
2000,5,男,15-24,1,高雄市
2000,5,男,25-34,1,高雄市
2000,5,男,35-49,1,雲林縣
2000,5,男,50-64,1,雲林縣
2000,5,男,35-49,3,新北市
2000,5,男,50-64,1,新北市
2000,6,男,25-34,1,台北市
2000,6,男,65以上,2,台北市
2000,6,男,15-24,1,台南市
2000,6,男,35-49,1,台南市
2000,6,男,50-64,1,台南市
2000,6,男,65以上,1,台南市
2000,6,男,35-49,1,屏東縣
2000,6,女,50-64,1,桃園市
2000,6,男,65以上,1,桃園市
2000,6,男,35-49,1,高雄市
2000,6,女,50-64,1,基隆市
2000,6,男,50-64,1,基隆市
2000,6,男,25-34,1,新北市
2000,6,男,35-49,2,新北市
2000,6,男,50-64,1,新北市
2000,6,男,25-34,1,新竹縣
2000,7,男,35-49,2,台中市
2000,7,男,25-34,1,台南市
